N:7759 E:7758
1 0.907708 0.455066
2 0.897413 0.506224
3 -0.233304 0.299577
4 1.651499 0.583974
5 0.931101 0.430744
6 0.943399 0.409969
7 1.007696 0.745760
8 0.928379 0.429173
9 0.951469 0.415787
10 1.765407 0.529918
11 0.817905 0.208878
12 0.953428 0.420779
13 1.199448 0.374506
14 0.802329 0.278717
15 0.675697 0.795899
16 0.963631 0.459767
17 -0.112238 0.969512
18 0.457095 0.014006
19 -0.312739 0.522214
20 -0.497895 0.135256
21 -0.282682 0.257520
22 -0.279550 0.291705
23 -0.241895 0.278861
24 -0.264226 0.306060
25 -0.259375 0.281859
26 -0.231814 0.274065
27 -0.250542 0.296023
28 -1.589863 0.620809
29 -0.344299 0.273618
30 -0.232258 0.231732
31 -0.370984 0.053428
32 -0.258759 0.317900
33 -0.242160 0.279258
34 -0.297131 0.614757
35 -0.334519 0.204656
36 -0.252556 0.316546
37 -0.249636 0.272095
38 0.022160 -0.348603
39 -0.374546 -0.591062
40 -0.264249 0.305882
41 -0.245488 0.316941
42 -0.386634 0.171905
43 0.298037 1.287583
44 -0.260036 0.282950
45 -0.269787 0.001121
46 -0.256469 0.260866
47 -0.231917 0.088878
48 -0.538894 0.247557
49 -0.263447 0.288461
50 -0.302510 0.263714
51 -0.071576 -0.044704
52 0.303431 0.670741
53 -0.884190 -0.339737
54 -0.362328 0.148053
55 -0.269861 0.190364
56 -0.651038 0.333209
57 -0.106269 0.092582
58 -0.084111 0.299920
59 -0.289415 0.307418
60 -0.262821 0.300379
61 1.788905 0.072321
62 1.700003 0.587953
63 2.201766 1.073285
64 1.737069 0.600715
65 1.739457 0.582488
66 1.700022 0.587637
67 1.881716 0.609435
68 1.741653 0.591779
69 1.700003 0.587955
70 0.971209 0.380222
71 1.037950 0.749458
72 1.055238 0.741051
73 1.087654 1.036796
74 1.062068 0.786999
75 0.983040 0.387412
76 2.326616 1.071180
77 1.898070 -0.086116
78 1.820330 0.535455
79 1.819616 0.518977
80 1.820329 0.535455
81 1.819622 0.518975
82 2.008067 0.947870
83 1.820426 0.535473
84 2.238468 0.066137
85 1.310983 0.792377
86 1.819622 0.518976
87 1.826988 0.526886
88 1.819616 0.518977
89 1.820329 0.535455
90 0.713979 -0.011339
91 0.827298 0.140617
92 0.834551 0.174280
93 0.827180 0.156176
94 0.987210 0.397033
95 0.753495 0.525472
96 1.271532 0.275953
97 1.230158 0.251735
98 1.493173 0.485615
99 1.182577 0.279511
100 1.715405 0.430662
101 1.192471 -0.031016
102 1.230393 0.355299
103 1.053578 0.608351
104 1.179743 0.310691
105 1.225942 0.347532
106 1.182466 0.210936
107 1.196162 0.285096
108 1.227187 0.304633
