N:113 E:112
1 2
2 3
2 4
2 5
2 6
2 7
2 8
2 9
2 10
2 11
2 12
2 13
2 14
2 15
2 16
2 17
2 18
2 19
3 20
3 21
3 22
3 23
3 24
3 25
3 26
3 27
4 28
5 29
5 30
5 31
5 32
7 33
7 34
11 35
11 36
11 37
11 38
11 39
12 40
12 41
12 42
13 43
13 44
13 45
13 46
13 47
13 48
14 49
14 50
14 51
14 52
14 53
14 54
14 55
15 56
15 57
15 58
16 59
16 60
16 61
16 62
17 63
17 64
17 65
17 66
20 67
20 68
20 69
20 70
20 71
20 72
20 73
20 74
21 75
21 76
21 77
21 78
21 79
21 80
21 81
21 82
21 83
22 84
22 85
22 86
23 87
23 88
23 89
23 90
23 91
23 92
23 93
23 94
23 95
24 96
24 97
24 98
24 99
24 100
25 101
25 102
25 103
25 104
25 105
26 106
26 107
26 108
26 109
26 110
27 111
27 112
27 113
