N:131 E:130
1 2
1 3
1 4
1 5
1 6
1 7
2 8
2 9
2 10
2 11
2 12
2 13
2 14
2 15
2 16
2 17
2 18
2 19
3 20
3 21
3 22
3 23
4 24
4 25
4 26
4 27
4 28
4 29
4 30
4 31
4 32
4 33
4 34
4 35
4 36
4 37
4 38
4 39
4 40
4 41
4 42
4 43
5 44
5 45
5 46
6 47
6 48
6 49
6 50
6 51
6 52
6 53
6 54
6 55
7 56
8 57
8 58
8 59
8 60
8 61
8 62
8 63
8 64
8 65
8 66
10 67
10 68
10 69
10 70
11 71
12 72
12 73
12 74
12 75
12 76
12 77
12 78
12 79
12 80
12 81
12 82
25 83
25 84
25 85
47 86
47 87
47 88
47 89
56 90
56 91
58 92
58 93
58 94
58 95
58 96
58 97
58 98
58 99
58 100
67 101
76 102
77 103
77 104
77 105
77 106
77 107
79 108
86 109
86 110
86 111
86 112
89 113
89 114
89 115
89 116
89 117
89 118
89 119
89 120
89 121
89 122
89 123
89 124
89 125
90 126
90 127
91 128
91 129
91 130
91 131
