N:109 E:108
1 2
1 3
1 4
1 5
1 6
1 7
2 8
2 9
2 10
2 11
2 12
2 13
2 14
2 15
2 16
2 17
2 18
2 19
2 20
2 21
2 22
2 23
2 24
2 25
2 26
2 27
2 28
2 29
2 30
2 31
2 32
2 33
2 34
2 35
2 36
2 37
2 38
2 39
3 40
3 41
3 42
3 43
3 44
3 45
3 46
3 47
3 48
4 49
5 50
6 51
6 52
6 53
6 54
6 55
10 56
14 57
14 58
14 59
14 60
17 61
17 62
17 63
18 64
18 65
19 66
19 67
20 68
20 69
21 70
22 71
68 72
68 73
68 74
68 75
68 76
69 77
69 78
69 79
69 80
69 81
69 82
69 83
69 84
69 85
69 86
69 87
69 88
69 89
72 90
72 91
73 92
73 93
73 94
73 95
73 96
73 97
73 98
73 99
73 100
74 101
74 102
75 103
75 104
75 105
76 106
76 107
76 108
76 109
