N:692 E:691
1 1.579312 1.468035
2 1.502048 1.354630
3 1.637009 1.549673
4 1.667640 1.476010
5 1.373864 0.436698
6 1.582981 2.249368
7 1.551479 1.428340
8 1.760800 1.544159
9 1.734533 1.558476
10 1.767871 1.515763
11 1.632452 0.123289
12 1.876925 0.421916
13 1.697270 0.270370
14 1.590106 -0.021524
15 1.408584 0.088478
16 1.234065 -0.049392
17 1.708003 0.629748
18 1.452253 0.298444
19 0.398402 0.259333
20 1.265072 0.324831
21 1.279620 0.559417
22 1.310152 0.463903
23 1.355981 0.601935
24 1.489865 0.570368
25 1.359706 0.380258
26 1.456054 0.477204
27 1.524429 0.522485
28 1.451320 0.323995
29 1.250366 0.409083
30 1.518245 0.465796
31 1.393858 0.517826
32 1.509843 0.496834
33 1.451819 0.445073
34 1.463962 0.350237
35 1.484029 0.544678
36 1.492770 0.378983
37 1.331869 0.590543
38 1.509301 0.401910
39 1.459697 0.532662
40 1.383843 0.307094
41 1.361954 0.281423
42 1.393414 0.281133
43 1.422761 0.334050
44 1.259605 0.439026
45 1.479360 0.413379
46 1.285659 0.424489
47 1.300308 0.391135
48 1.238791 0.487169
49 1.541689 0.441921
50 1.460172 0.386506
51 1.542705 0.469250
52 1.302343 0.298329
53 1.432719 0.415506
54 1.510700 0.546103
55 1.515731 0.431601
56 1.242787 0.514536
57 1.465024 0.569356
58 1.434342 0.362769
59 1.478346 0.316479
60 1.288084 0.321632
61 1.489853 0.444132
62 1.222346 0.418658
63 1.283450 0.357748
64 1.539263 0.414628
65 1.393206 0.549996
66 1.267684 0.503772
67 1.324742 0.428024
68 1.519456 0.362966
69 1.321836 0.364876
70 1.490561 0.476437
71 1.332294 0.286808
72 1.412854 0.308154
73 1.403271 0.573876
74 1.224434 0.466405
75 1.228041 0.388766
76 1.263592 0.536754
77 1.377772 0.590217
78 1.356630 0.310950
79 1.240825 0.367095
80 1.294205 0.522151
81 1.305795 0.580168
82 1.395970 0.605408
83 1.535893 0.496253
84 1.502238 0.333225
85 1.328762 0.313952
86 1.490367 0.352592
87 1.464916 0.502873
88 1.455889 0.592950
89 1.333476 0.561227
90 1.310125 0.334151
91 1.431703 0.579390
92 1.350366 0.495159
93 1.426049 0.287592
94 1.422858 0.601733
95 1.353523 0.344316
96 1.494169 0.519009
97 1.531839 0.387520
98 1.361482 0.568064
99 1.361303 0.535321
100 1.328197 0.526455
101 1.388535 0.339948
102 1.438512 0.555322
103 1.427019 0.530292
104 1.293897 0.488262
105 1.253421 0.346740
106 1.263670 0.467265
107 1.231042 0.443835
108 1.267148 0.385196
109 1.403622 0.378875
110 1.421840 0.493547
111 1.305291 0.551349
112 1.502222 2.684534
113 1.714640 2.549510
114 1.585032 2.301869
115 1.608212 2.145430
116 1.694549 2.178915
117 1.483984 2.297406
118 1.501858 2.398899
119 1.515515 2.314590
120 1.747702 2.288007
121 1.533710 2.378459
122 1.693291 2.331838
123 1.518166 2.250968
124 1.714171 2.268110
125 1.682630 2.248565
126 1.652022 2.233433
127 1.666079 2.195232
128 1.477657 2.324800
129 1.478495 2.378338
130 1.542781 2.214084
131 1.736633 2.230485
132 1.595848 2.336356
133 1.712443 2.238152
134 1.548850 2.418308
135 1.588659 2.367714
